timestamp(America/Los_Angeles),temp(°C)
10/19/2019 7:30,21.9
10/19/2019 7:45,21.8
10/19/2019 8:00,21.6
10/19/2019 8:15,21.5
10/19/2019 8:30,21.6
10/19/2019 8:45,22
10/19/2019 9:00,21.7
10/19/2019 9:15,21.7
10/19/2019 9:30,22.3
10/19/2019 9:45,22.1
10/19/2019 10:00,22.1
10/19/2019 10:15,21.7
10/19/2019 10:30,21.6
10/19/2019 10:45,21.5
10/19/2019 11:00,21.5
10/19/2019 11:15,21.5
10/19/2019 11:30,21.5
10/19/2019 11:45,21.9
10/19/2019 12:00,21.6
10/19/2019 12:15,21.6
10/19/2019 12:30,21.6
10/19/2019 12:45,21.7
10/19/2019 13:00,21.6
10/19/2019 13:15,21.9
10/19/2019 13:30,21.8
10/19/2019 13:45,21.9
10/19/2019 14:00,22
10/19/2019 14:15,22.3
10/19/2019 14:30,22.3
10/19/2019 14:45,22.3
10/19/2019 15:00,22.3
10/19/2019 15:15,22.3
10/19/2019 15:30,22.1
10/19/2019 15:45,22
10/19/2019 16:00,22.1
10/19/2019 16:15,22.3
10/19/2019 16:30,22.2
10/19/2019 16:45,22.1
10/19/2019 17:00,22
10/19/2019 17:15,22
10/19/2019 17:30,22
10/19/2019 17:45,22
10/19/2019 18:00,22.1
10/19/2019 18:15,22
10/19/2019 18:30,22
10/19/2019 18:45,21.9
10/19/2019 19:00,21.9
10/19/2019 19:15,22.1
10/19/2019 19:30,22.2
10/19/2019 19:45,22.3
10/19/2019 20:00,22.4
10/19/2019 20:15,22.5
10/19/2019 20:30,22.4
10/19/2019 20:45,22.5
10/19/2019 21:00,22.3
10/19/2019 21:15,22.3
10/19/2019 21:30,22.6
10/19/2019 21:45,23.5
10/19/2019 22:00,23.6
10/19/2019 22:15,23.7
10/19/2019 22:30,23.9
10/19/2019 22:45,23.9
10/19/2019 23:00,23.9
10/19/2019 23:15,23.9
10/19/2019 23:30,23.2
10/19/2019 23:45,22.9
10/20/2019 0:00,22.8
10/20/2019 0:15,23
10/20/2019 0:30,22.9
10/20/2019 0:45,22.7
10/20/2019 1:00,22.6
10/20/2019 1:15,22.6
10/20/2019 1:30,22.5
10/20/2019 1:45,22.7
10/20/2019 2:00,22.9
10/20/2019 2:15,22.8
10/20/2019 2:30,22.6
10/20/2019 2:45,22.5
10/20/2019 3:00,22.5
10/20/2019 3:15,22.7
10/20/2019 3:30,22.5
10/20/2019 3:45,22.4
10/20/2019 4:00,22.3
10/20/2019 4:15,22.3
10/20/2019 4:30,22.6
10/20/2019 4:45,22.3
10/20/2019 5:00,22.2
10/20/2019 5:15,22.2
10/20/2019 5:30,22.2
10/20/2019 5:45,22.5
10/20/2019 6:00,22.2
10/20/2019 6:15,22.1
10/20/2019 6:30,22.1
10/20/2019 6:45,22
10/20/2019 7:00,22.1
10/20/2019 7:15,21.7
10/20/2019 7:30,21.6
10/20/2019 7:45,21.3
10/20/2019 8:00,21.2
10/20/2019 8:30,21.1
10/20/2019 8:45,21.1
10/20/2019 9:00,21.1
10/20/2019 9:15,21.6
10/20/2019 9:30,21.3
10/20/2019 9:45,21.5
10/20/2019 10:00,21.3
10/20/2019 10:15,21.5
10/20/2019 10:30,21.7
10/20/2019 10:45,21.7
10/20/2019 11:00,21.5
10/20/2019 11:15,21.4
10/20/2019 11:30,21.3
10/20/2019 11:45,21.3
10/20/2019 12:00,21.3
10/20/2019 12:15,21.5
10/20/2019 12:30,21.7
10/20/2019 12:45,21.5
10/20/2019 13:00,21.4
10/20/2019 13:15,21.4
10/20/2019 13:30,21.5
10/20/2019 13:45,21.7
10/20/2019 14:00,21.7
10/20/2019 14:15,21.6
10/20/2019 14:30,21.6
10/20/2019 14:45,21.6
10/20/2019 15:00,21.7
10/20/2019 15:15,21.9
10/20/2019 15:30,21.8
10/20/2019 15:45,21.8
10/20/2019 16:00,21.8
10/20/2019 16:15,21.8
10/20/2019 16:30,22
10/20/2019 16:45,22.1
10/20/2019 17:00,21.9
10/20/2019 17:15,21.9
10/20/2019 17:30,22.1
10/20/2019 17:45,22.2
10/20/2019 18:00,22.4
10/20/2019 18:15,22.2
10/20/2019 18:30,22
10/20/2019 18:45,22.1
10/20/2019 19:00,22.6
10/20/2019 19:15,23.2
10/20/2019 19:30,22.8
10/20/2019 19:45,23.1
10/20/2019 20:00,23.5
10/20/2019 20:15,23.2
10/20/2019 20:30,22.9
10/20/2019 20:45,23.2
10/20/2019 21:00,23.5
10/20/2019 21:15,23.5
10/20/2019 21:30,23
10/20/2019 21:45,22.9
10/20/2019 22:00,22.9
10/20/2019 22:15,23
10/20/2019 22:30,23.1
10/20/2019 22:45,22.9
10/20/2019 23:00,23
10/20/2019 23:15,22.7
10/20/2019 23:30,22.9
10/20/2019 23:45,22.9
10/21/2019 0:00,22.6
10/21/2019 0:15,22.5
10/21/2019 0:30,22.5
10/21/2019 0:45,22.7
10/21/2019 1:00,22.8
10/21/2019 1:15,22.5
10/21/2019 1:30,22.4
10/21/2019 1:45,22.4
10/21/2019 2:00,22.5
10/21/2019 2:15,22.7
10/21/2019 2:30,22.4
10/21/2019 2:45,22.3
10/21/2019 3:00,22.3
10/21/2019 3:15,22.3
10/21/2019 3:30,22.7
10/21/2019 3:45,22.4
10/21/2019 4:00,22.3
10/21/2019 4:15,22.2
10/21/2019 4:30,22.2
10/21/2019 4:45,22.5
10/21/2019 5:00,22.4
10/21/2019 5:15,22.2
10/21/2019 5:30,22.1
10/21/2019 5:45,22.1
10/21/2019 6:00,22.2
10/21/2019 6:15,22.5
10/21/2019 6:30,22.1
10/21/2019 6:45,22.1
10/21/2019 7:00,22
10/21/2019 7:15,22
10/21/2019 7:30,22.3
10/21/2019 7:45,22.2
10/21/2019 8:00,22
10/21/2019 8:15,22
10/21/2019 8:30,21.8
10/21/2019 8:45,21.9
10/21/2019 9:00,22.2
10/21/2019 9:15,22.3
10/21/2019 9:30,22.9
10/21/2019 9:45,23.1
10/21/2019 10:00,22.6
10/21/2019 10:15,22.5
10/21/2019 10:30,22.5
10/21/2019 10:45,22.7
10/21/2019 11:00,22.9
10/21/2019 11:15,22.5
10/21/2019 11:30,22.5
10/21/2019 11:45,22.5
10/21/2019 12:00,22.5
10/21/2019 12:15,23
10/21/2019 12:30,22.6
10/21/2019 12:45,22.5
10/21/2019 13:00,22.5
10/21/2019 13:15,22.5
10/21/2019 13:30,22.8
10/21/2019 13:45,22.8
10/21/2019 14:00,22.6
10/21/2019 14:15,22.6
10/21/2019 14:30,22.6
10/21/2019 14:45,22.7
10/21/2019 15:00,23
10/21/2019 15:15,22.7
10/21/2019 15:30,22.7
10/21/2019 15:45,22.7
10/21/2019 16:00,22.8
10/21/2019 16:15,23.2
10/21/2019 16:30,23
10/21/2019 16:45,22.9
10/21/2019 17:00,22.9
10/21/2019 17:15,23
10/21/2019 17:30,23.3
10/21/2019 17:45,23.6
10/21/2019 18:00,23.6
10/21/2019 18:15,23.3
10/21/2019 18:30,23.2
10/21/2019 18:45,23.1
10/21/2019 19:00,23.1
10/21/2019 19:15,23.1
10/21/2019 19:30,23.2
10/21/2019 19:45,23.5
10/21/2019 20:00,23.1
10/21/2019 20:15,23.1
10/21/2019 20:30,23
10/21/2019 20:45,23
10/21/2019 21:00,23.2
10/21/2019 21:15,23.1
10/21/2019 21:30,22.9
10/21/2019 21:45,22.9
10/21/2019 22:00,23.1
10/21/2019 22:15,23.2
10/21/2019 22:30,23.2
10/21/2019 22:45,23.5
10/21/2019 23:00,23.3
10/21/2019 23:15,23
10/21/2019 23:30,22.8
10/21/2019 23:45,23.1
10/22/2019 0:00,23.6
10/22/2019 0:15,23.5
10/22/2019 0:30,23.5
10/22/2019 0:45,23.5
10/22/2019 1:00,23.4
10/22/2019 1:15,23.8
10/22/2019 1:30,23.5
10/22/2019 1:45,23.3
10/22/2019 2:00,23.3
10/22/2019 2:15,23.2
10/22/2019 2:30,23.6
10/22/2019 2:45,23.3
10/22/2019 3:00,23.2
10/22/2019 3:15,23.1
10/22/2019 3:30,23
10/22/2019 3:45,23.3
10/22/2019 4:00,23.2
10/22/2019 4:15,23
10/22/2019 4:30,22.9
10/22/2019 4:45,22.8
10/22/2019 5:00,23.2
10/22/2019 5:15,23.2
10/22/2019 5:30,22.8
10/22/2019 5:45,22.8
10/22/2019 6:00,22.7
10/22/2019 6:15,22.8
10/22/2019 6:30,23.1
10/22/2019 6:45,22.7
10/22/2019 7:00,22.7
10/22/2019 7:15,22.7
10/22/2019 7:30,22.7
10/22/2019 7:45,23.2
10/22/2019 8:00,22.7
10/22/2019 8:15,22.6
10/22/2019 8:30,22.4
10/22/2019 8:45,22.7
10/22/2019 9:00,22.9
10/22/2019 9:15,22.7
10/22/2019 9:30,22.5
10/22/2019 9:45,22.4
10/22/2019 10:00,22.4
10/22/2019 10:15,22.4
10/22/2019 10:30,22.6
10/22/2019 10:45,22.8
10/22/2019 11:00,22.4
10/22/2019 11:15,22.4
10/22/2019 11:30,22.4
10/22/2019 11:45,22.5
10/22/2019 12:00,22.9
10/22/2019 12:15,22.6
10/22/2019 12:30,22.5
10/22/2019 12:45,22.5
10/22/2019 13:00,22.5
10/22/2019 13:15,22.8
10/22/2019 13:30,22.8
10/22/2019 13:45,22.6
10/22/2019 14:00,22.6
10/22/2019 14:15,22.6
10/22/2019 14:30,22.8
10/22/2019 14:45,23
10/22/2019 15:00,22.8
10/22/2019 15:15,22.8
10/22/2019 15:30,22.8
10/22/2019 15:45,22.9
10/22/2019 16:00,23.2
10/22/2019 16:15,23
10/22/2019 16:30,23
10/22/2019 16:45,23
10/22/2019 17:00,23.1
10/22/2019 17:15,23.4
10/22/2019 17:30,23.2
10/22/2019 17:45,23.2
10/22/2019 18:00,23.2
10/22/2019 18:15,23.3
10/22/2019 18:30,23.6
10/22/2019 18:45,23.3
10/22/2019 19:00,23.3
10/22/2019 19:15,23.2
10/22/2019 19:30,23.3
10/22/2019 19:45,23.6
10/22/2019 20:00,23.5
10/22/2019 20:15,23.6
10/22/2019 20:30,23.6
10/22/2019 20:45,23.7
10/22/2019 21:00,23.7
10/22/2019 21:15,23.6
10/22/2019 21:30,23.8
10/22/2019 21:45,23.9
10/22/2019 22:00,23.7
10/22/2019 22:15,23.6
10/22/2019 22:30,23.4
10/22/2019 22:45,23.1
10/22/2019 23:00,23.3
10/22/2019 23:15,23.2
10/22/2019 23:30,22.9
10/22/2019 23:45,22.8
10/23/2019 0:00,23
10/23/2019 0:15,23.2
10/23/2019 0:30,23.6
10/23/2019 0:45,23.7
10/23/2019 1:00,23.3
10/23/2019 1:15,23.1
10/23/2019 1:30,23
10/23/2019 1:45,23
10/23/2019 2:00,23
10/23/2019 2:15,22.9
10/23/2019 2:30,23.1
10/23/2019 2:45,23.4
10/23/2019 3:00,23.7
10/23/2019 3:15,23.3
10/23/2019 3:30,23.1
10/23/2019 3:45,23.1
10/23/2019 4:00,23
10/23/2019 4:15,23.3
10/23/2019 4:30,23.6
10/23/2019 4:45,23.2
10/23/2019 5:00,23.1
10/23/2019 5:15,23
10/23/2019 5:30,23
10/23/2019 5:45,23.2
10/23/2019 6:00,23.5
10/23/2019 6:15,23.1
10/23/2019 6:30,23
10/23/2019 6:45,22.9
10/23/2019 7:00,23
10/23/2019 7:15,23
10/23/2019 7:30,23.5
10/23/2019 7:45,23.1
10/23/2019 8:00,22.9
10/23/2019 8:15,22.9
10/23/2019 8:30,22.9
10/23/2019 8:45,22.9
10/23/2019 9:00,23.4
10/23/2019 9:15,23.6
10/23/2019 9:30,23.8
10/23/2019 9:45,23.8
10/23/2019 10:00,23.3
10/23/2019 10:15,23.5
10/23/2019 10:30,23.7
10/23/2019 10:45,24
10/23/2019 11:00,24
10/23/2019 11:15,23.8
10/23/2019 11:30,23.5
10/23/2019 11:45,23.4
10/23/2019 12:00,23.6
10/23/2019 12:15,23.9
10/23/2019 12:30,23.5
10/23/2019 12:45,23.5
10/23/2019 13:00,23.5
10/23/2019 13:15,24
10/23/2019 13:30,23.7
